level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,2779,phisat_PHISAT-2_L1_000002779_20250715202421_20250715202424_7C9D28CB.zip,PHISAT-2_L1_000002779_20250715202421_20250715202424_7C9D28CB.zip,9b092a58-3002-50dc-b82a-a6e6c960de55,2025-07-15 20:24:21+00:00,2025-07-15 20:24:24+00:00,-134.232655946,56.644098468,2,2,0,T2_A2_L0,216,3,0.013888888888888888,72.0,37
L1C,2796,phisat_PHISAT-2_L1_000002796_20250717061836_20250717061849_2FFBC549.zip,PHISAT-2_L1_000002796_20250717061836_20250717061849_2FFBC549.zip,c5bbd59d-c855-5d6b-97f7-0050f467116d,2025-07-17 06:18:36+00:00,2025-07-17 06:18:49+00:00,-107.793205092,-47.817202669,2,0,0,T2_A0_L0,1,1,1.0,1.0,38
L1C,2808,phisat_PHISAT-2_L1_000002808_20250718051408_20250718051411_2290F3A1.zip,PHISAT-2_L1_000002808_20250718051408_20250718051411_2290F3A1.zip,b0bb36f8-775a-52f6-8e15-41d654895840,2025-07-18 05:14:08+00:00,2025-07-18 05:14:11+00:00,85.863234706,27.894218651,2,2,2,T2_A2_L2,261,3,0.011494252873563218,87.0,39
L1C,3077,phisat_PHISAT-2_L1_000003077_20250814013234_20250814013237_45EB5DF2.zip,PHISAT-2_L1_000003077_20250814013234_20250814013237_45EB5DF2.zip,9f681f6f-bfcf-57b0-82b6-9f9342c4915a,2025-08-14 01:32:34+00:00,2025-08-14 01:32:37+00:00,135.423154438,-14.461769736,2,1,3,T2_A1_L3,59,1,0.01694915254237288,59.0,40
L1C,3219,phisat_PHISAT-2_L1_000003219_20250903154140_20250903154143_9C4822EA.zip,PHISAT-2_L1_000003219_20250903154140_20250903154143_9C4822EA.zip,f6d3259b-9ec9-56fc-a772-b0d5a784c34f,2025-09-03 15:41:40+00:00,2025-09-03 15:41:43+00:00,-69.436188695,43.694176858,3,2,1,T3_A2_L1,130,1,0.007692307692307693,130.0,41
L1C,3228,phisat_PHISAT-2_L1_000003228_20250904103410_20250904103412_1E348DC8.zip,PHISAT-2_L1_000003228_20250904103410_20250904103412_1E348DC8.zip,e5ab67bc-beb5-531c-a6b6-3b8433ee1d85,2025-09-04 10:34:10+00:00,2025-09-04 10:34:12+00:00,11.306447786,46.930583431,3,2,2,T3_A2_L2,229,3,0.013100436681222707,76.33333333333334,42
L1C,3367,phisat_PHISAT-2_L1_000003367_20250918192115_20250918192117_176D117C.zip,PHISAT-2_L1_000003367_20250918192115_20250918192117_176D117C.zip,8d2237d6-deb5-561f-a74e-605ab819ebd3,2025-09-18 19:21:15+00:00,2025-09-18 19:21:17+00:00,-122.374814049,40.515655716,3,2,0,T3_A2_L0,146,2,0.0136986301369863,73.0,43
L1C,3500,phisat_PHISAT-2_L1_000003500_20251002153724_20251002153726_BD5FB8CC.zip,PHISAT-2_L1_000003500_20251002153724_20251002153726_BD5FB8CC.zip,30169ca7-11bb-5e6e-87de-c0de8145b95f,2025-10-02 15:37:24+00:00,2025-10-02 15:37:26+00:00,-73.005618805,3.90064101,3,1,1,T3_A1_L1,67,1,0.014925373134328358,67.0,44
L1C,3507,phisat_PHISAT-2_L1_000003507_20251003054315_20251003054317_F8686058.zip,PHISAT-2_L1_000003507_20251003054315_20251003054317_F8686058.zip,f13d9d9c-33d3-5560-a6c1-1323bb5156ec,2025-10-03 05:43:15+00:00,2025-10-03 05:43:17+00:00,76.764914133,19.187682638,3,1,2,T3_A1_L2,36,1,0.027777777777777776,36.0,45
L1C,3666,phisat_PHISAT-2_L1_000003666_20251022183414_20251022183416_C8EE5398.zip,PHISAT-2_L1_000003666_20251022183414_20251022183416_C8EE5398.zip,b0bcd20f-a465-52ae-9528-21944b18d069,2025-10-22 18:34:14+00:00,2025-10-22 18:34:16+00:00,-112.094434334,33.268618606,3,2,0,T3_A2_L0,146,2,0.0136986301369863,73.0,46
