product_id,analysis_design_weight,valid_primary_bands,median_shift_px_across_bands,max_shift_px_across_bands,median_response_across_bands,median_corr_gain_across_bands
2635,76.0,7,1.5117682984533198,10.46331045337241,0.7045773356221616,0.0028975614745475
2640,72.0,7,4.151281408022316,107.926909744568,0.5272669908590615,-3.686773681832456e-05
2695,49.00000000000001,7,7.987638546211983,16.91044050494149,0.2432667326065711,-0.0217602356733819
2779,72.0,7,1.7343172113278285,3.67998326067832,0.4554310110906954,0.0030072853346121
2796,1.0,7,207.22507026024456,1865.060597553649,0.00068067421671,0.0167980381716103
2808,87.0,7,1.1300613876914924,1.9469436897309016,0.6064456035383046,0.0002235749624726
3077,59.0,7,2.1290743735194284,6.008103945659011,0.3420613640919328,0.0073199105902516
3219,130.0,7,0.8681958867743597,2.959281456390912,0.2680008048191666,0.0019916886672254
3228,76.33333333333334,7,1.014403855564488,5.986070779241866,0.4721352382330224,0.002615378099148
3367,73.0,7,1.3838884233621906,1.9008056321777465,0.6161665893159807,0.0060857182817396
3500,67.0,7,1.0818931629370854,4.521115681294808,0.6129865646362305,0.0011350569378006
3507,36.0,7,0.996567129805995,1.6485656396335024,0.5823702432680875,0.000504221624299
3666,73.0,7,0.8161674747555796,2.05041755285518,0.6045279290992767,0.0010578832291955
3706,76.33333333333334,7,0.8047732481035548,1.0379174818383792,0.5681899240007624,0.0039118214523226
3808,64.0,7,5.556702614287108,8.13216507310605,0.2881988941226154,0.0047554123324988
3811,7.0,7,686.9461642340079,943.546258243544,0.0017090943838411,0.000481042737354
3829,68.0,7,665.9258200367258,1256.3542352076156,0.0013430147555482,-0.0092088751266258
3886,5.0,7,0.4823386846575322,1.0874934571567836,0.7177411148877582,0.0036854885015773
3888,81.0,7,0.8048724708359647,1.6893007758170169,0.5788698343676515,0.0002336968288586
4071,76.33333333333334,7,1.3071447179677522,1.9977259263682563,0.6358258500695229,-8.809886820770885e-05
4088,75.0,7,2.1191385150539754,8.935365398087376,0.2426975191337987,-0.0012415094263575
4160,8.0,7,527.8047640452972,664.4489906465536,0.0015503747290495,-0.0004884159062932
4418,65.5,7,2.008146113167072,5.741933085868789,0.6282924251863733,0.0042774311912242
